#Day Of Year:,53
#Event Date:,02/22/2021 13:23:20
#Original NetCDF file:,ORGLM-L2-LCFAG17s20210531323200e20210531323405c20210531323412.nc
#Platform:,G17
#Satellite (lat/lon/height):,0.0 / -137.199997 / 35786.02km
#Event Info:,
#Description:,
#Date Archived:,03/02/2021 19:16:51
#URL:,https://neo-bolide.ndc.nasa.gov
 
time (ms),longitude,latitude,energy (joules)
1614000200443,-111.57023620605469,55.522186279296875,2.6981945359061034e-14
1614000200445,-111.57023620605469,55.522193908691406,2.6581993368496278e-14
1614000200447,-111.57022857666016,55.52219772338867,3.2781249222249995e-14
1614000200449,-111.57022094726562,55.52220153808594,3.538093716092091e-14
1614000200451,-111.57022857666016,55.522193908691406,3.7580673109027066e-14
1614000200453,-111.57024383544922,55.52217483520508,4.5579712920322185e-14
1614000200455,-111.57026672363281,55.522151947021484,5.26788607528466e-14
1614000200457,-111.57028198242188,55.522132873535156,5.1279028785869957e-14
1614000200459,-111.57030487060547,55.52210998535156,5.577848867972346e-14
1614000200461,-111.57027435302734,55.52212142944336,5.887811660660032e-14
1614000200463,-111.57020568847656,55.52216720581055,6.017796057593578e-14
1614000200465,-111.57012939453125,55.522212982177734,6.497738446271285e-14
1614000200467,-111.57005310058594,55.52225875854492,7.297642427400797e-14
1614000200469,-111.56997680664062,55.52230453491211,7.387631625277867e-14
1614000200471,-111.56996154785156,55.52232360839844,7.697594417965553e-14
1614000200473,-111.56999969482422,55.522315979003906,7.167658030467251e-14
1614000200475,-111.5700454711914,55.52230453491211,7.517616022211412e-14
1614000200477,-111.5700912475586,55.52229690551758,8.187535606407379e-14
1614000200479,-111.57013702392578,55.52228927612305,7.957563211832644e-14
1614000200481,-111.57018280029297,55.52226638793945,8.097546408530308e-14
1614000200483,-111.57024383544922,55.5222282409668,8.44750440027447e-14
1614000200485,-111.57030487060547,55.522186279296875,7.877572813719693e-14
1614000200487,-111.57035827636719,55.52214813232422,8.047552409709714e-14
1614000200489,-111.57041931152344,55.52210998535156,8.667477995085086e-14
1614000200491,-111.57044219970703,55.52208709716797,8.667477995085086e-14
1614000200493,-111.57039642333984,55.52208709716797,8.937445588716296e-14
1614000200495,-111.57035064697266,55.52208709716797,8.937445588716296e-14
1614000200497,-111.5703125,55.522090911865234,8.667477995085086e-14
1614000200499,-111.57026672363281,55.522090911865234,8.3575152023974e-14
1614000200501,-111.57022857666016,55.522117614746094,9.107425184706317e-14
1614000200503,-111.5701904296875,55.522178649902344,9.647360371968738e-14
1614000200505,-111.57015228271484,55.52224349975586,9.507377175271073e-14
1614000200506,-111.57012176513672,55.522308349609375,9.197414382583387e-14
1614000200509,-111.57008361816406,55.52237319946289,9.247408381403982e-14
1614000200511,-111.570068359375,55.522403717041016,9.067429985649842e-14
1614000200513,-111.57010650634766,55.52235794067383,9.157419183526912e-14
1614000200514,-111.57013702392578,55.522315979003906,9.957323164656424e-14
1614000200516,-111.57017517089844,55.52227020263672,9.727350770081689e-14
1614000200519,-111.57020568847656,55.5222282409668,9.647360371968738e-14
1614000200521,-111.57022857666016,55.522193908691406,9.507377175271073e-14
1614000200523,-111.5702133178711,55.52219772338867,9.957323164656424e-14
1614000200524,-111.57019805908203,55.52219772338867,1.0437265553334131e-13
1614000200526,-111.5701904296875,55.52219772338867,1.0657239148144746e-13
1614000200529,-111.57017517089844,55.52220153808594,1.0747228346021817e-13
1614000200531,-111.57017517089844,55.52219772338867,1.0837217543898887e-13
1614000200532,-111.5702133178711,55.52218246459961,1.0877212742955362e-13
1614000200534,-111.57025146484375,55.52217102050781,1.0797222344842411e-13
1614000200537,-111.5702896118164,55.52215576171875,1.1457143129274258e-13
1614000200539,-111.57032775878906,55.52214431762695,1.1767105921961944e-13
1614000200540,-111.57035064697266,55.52213668823242,1.1497138328330734e-13
1614000200542,-111.5703353881836,55.522159576416016,1.1677116724084874e-13
1614000200544,-111.57032012939453,55.52218246459961,1.1367153931397188e-13
1614000200547,-111.57030487060547,55.52220153808594,1.1497138328330734e-13
1614000200548,-111.5702896118164,55.52222442626953,1.326692588657978e-13
1614000200550,-111.57027435302734,55.52223587036133,1.3136941489646233e-13
1614000200552,-111.5702896118164,55.522212982177734,1.3666877877144535e-13
1614000200554,-111.57029724121094,55.522193908691406,1.326692588657978e-13
1614000200556,-111.5703125,55.52217102050781,1.3006957092712688e-13
1614000200558,-111.57032775878906,55.52214813232422,1.3316919885400373e-13
1614000200560,-111.5703353881836,55.522125244140625,1.379686227407808e-13
1614000200562,-111.5703353881836,55.52210235595703,1.4416787859453452e-13
1614000200564,-111.5703353881836,55.52207946777344,1.5036713444828824e-13
1614000200566,-111.5703353881836,55.522056579589844,1.570663302902479e-13
1614000200568,-111.5703353881836,55.52203369140625,1.5086707443649418e-13
1614000200570,-111.57032775878906,55.52202606201172,1.4996718245772348e-13
1614000200572,-111.57030487060547,55.522098541259766,1.4776744650961733e-13
1614000200574,-111.57028198242188,55.52217102050781,1.534667623751651e-13
1614000200576,-111.57025146484375,55.52224349975586,1.5396670236337104e-13
1614000200578,-111.57022857666016,55.52231216430664,1.5306681038460034e-13
1614000200580,-111.5702133178711,55.522369384765625,1.5656639030204196e-13
1614000200582,-111.57025146484375,55.52232360839844,1.5396670236337104e-13
1614000200584,-111.57029724121094,55.52227783203125,1.5036713444828824e-13
1614000200586,-111.57034301757812,55.5222282409668,1.534667623751651e-13
1614000200588,-111.58393859863281,55.521060943603516,1.6686515405908442e-13
