#Day Of Year:,263
#Event Date:,09/19/2024 09:52:50
#Original NetCDF file:,GLM-L2-LCFAG16s20242630952400e20242630953000c20242630953018.nc
#Platform:,G16
#Satellite (lat/lon/height):,0.0 / -75.199997 / 35786.02km
#Event Info:,
#Description:,
#Date Archived:,10/01/2024 18:20:42
#URL:,https://neo-bolide.ndc.nasa.gov
 
time (ms),longitude,latitude,energy (joules)
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.73248291015625,-27.046586990356445,3.884717559839244e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.73248291015625,-27.046585083007812,3.18480195354528e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.73248291015625,-27.046585083007812,3.484765966321182e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.73128509521484,-27.046489715576172,4.1846815726151454e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.73120880126953,-27.046485900878906,5.08457361094285e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.73113250732422,-27.04648208618164,5.58451363223602e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.73104858398438,-27.046478271484375,5.984465649270555e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.73097229003906,-27.046472549438477,4.9845856066842165e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.73089599609375,-27.04646873474121,2.384897919476209e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63175964355469,-27.0406494140625,3.6847419748384496e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63168334960938,-27.040645599365234,3.884717559839244e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63159942626953,-27.040639877319336,3.884717559839244e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63152313232422,-27.04063606262207,3.984705564097878e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.6314468383789,-27.040632247924805,3.6847419748384496e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63136291503906,-27.040626525878906,3.484765966321182e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63323974609375,-27.04069709777832,3.384777962062548e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63316345214844,-27.040691375732422,3.18480195354528e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63308715820312,-27.040687561035156,3.7847299790970835e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63300323486328,-27.04068374633789,3.484765966321182e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63292694091797,-27.040679931640625,4.0846935683565115e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63285064697266,-27.040674209594727,4.284669576873779e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63276672363281,-27.04067039489746,5.484525627977386e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.6326904296875,-27.040666580200195,5.58451363223602e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63261413574219,-27.04066276550293,6.284429662046457e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63253021240234,-27.040658950805664,6.984345691856894e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63245391845703,-27.040653228759766,6.6843816790809925e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63237762451172,-27.0406494140625,7.38429770889143e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.6323013305664,-27.040645599365234,7.484285713150064e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63221740722656,-27.04064178466797,8.1842017429605e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63214111328125,-27.04063606262207,8.784129768512304e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63206481933594,-27.040632247924805,9.284069789805473e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.6319808959961,-27.04062843322754,8.784129768512304e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63190460205078,-27.040624618530273,9.784009811098643e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63182830810547,-27.040620803833008,1.0283949832391812e-14
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63174438476562,-27.04061508178711,9.18408178554684e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63166809082031,-27.040611267089844,8.084213738701867e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.631591796875,-27.040607452392578,7.484285713150064e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63151550292969,-27.040603637695312,7.38429770889143e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63143157958984,-27.040597915649414,6.6843816790809925e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63135528564453,-27.04059410095215,6.384417666305091e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63328552246094,-27.040733337402344,6.084453653529189e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.6333236694336,-27.040735244750977,6.084453653529189e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63312530517578,-27.04072380065918,6.084453653529189e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.6333236694336,-27.040733337402344,5.484525627977386e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63297271728516,-27.04071617126465,5.184561615201484e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63333129882812,-27.040735244750977,4.384657581132413e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.6328125,-27.040706634521484,5.58451363223602e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63333129882812,-27.040735244750977,5.484525627977386e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63265991210938,-27.040699005126953,6.484405670563725e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.6333236694336,-27.040735244750977,7.584273717408697e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63249969482422,-27.04068946838379,8.484165755736402e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.6333236694336,-27.040735244750977,9.584033802581375e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63233947753906,-27.040681838989258,1.0283949832391812e-14
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63333892822266,-27.040735244750977,1.1283829874978151e-14
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63218688964844,-27.040672302246094,1.278364993885766e-14
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.6333236694336,-27.040735244750977,1.098386586220225e-14
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63202667236328,-27.040664672851562,8.284189747219135e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.6333236694336,-27.040735244750977,7.484285713150064e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63187408447266,-27.04065704345703,6.984345691856894e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.6333236694336,-27.040735244750977,6.284429662046457e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.6317138671875,-27.040647506713867,5.384537623718752e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63333129882812,-27.040735244750977,5.284549619460118e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63155364990234,-27.040639877319336,7.284309704632796e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63333129882812,-27.040735244750977,1.1483805883495419e-14
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63140106201172,-27.040634155273438,1.2883637943116293e-14
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63330078125,-27.040735244750977,1.1883757900529954e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63333129882812,-27.04073715209961,1.0283949832391812e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63314056396484,-27.040727615356445,9.084093781288206e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63334655761719,-27.040739059448242,9.684021806840009e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63298797607422,-27.04071807861328,9.684021806840009e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63333892822266,-27.040739059448242,1.0583913845167714e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63282775878906,-27.04071044921875,1.0383937836650446e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63333892822266,-27.040739059448242,1.0283949832391812e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.6326675415039,-27.04070281982422,9.684021806840009e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63336181640625,-27.040739059448242,7.884237730184599e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63251495361328,-27.040693283081055,8.584153759995036e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63336181640625,-27.040739059448242,8.584153759995036e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63235473632812,-27.040685653686523,8.484165755736402e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63336181640625,-27.040739059448242,8.484165755736402e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.6322021484375,-27.04067611694336,7.584273717408697e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63337707519531,-27.040740966796875,7.184321700374162e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63204193115234,-27.040668487548828,6.88435768759826e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63337707519531,-27.040740966796875,7.284309704632796e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63188171386719,-27.040658950805664,6.984345691856894e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63337707519531,-27.040740966796875,5.684501636494654e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63172912597656,-27.040651321411133,6.084453653529189e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63337707519531,-27.040740966796875,6.784369683339626e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.6315689086914,-27.04064178466797,6.784369683339626e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63339233398438,-27.040740966796875,5.7844896407532875e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63141632080078,-27.040634155273438,5.58451363223602e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63336181640625,-27.040739059448242,6.384417666305091e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63329315185547,-27.040735244750977,7.584273717408697e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63321685791016,-27.04073143005371,7.884237730184599e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63313293457031,-27.040727615356445,7.38429770889143e-15
