#Day Of Year:,232
#Event Date:,08/19/2020 15:03:42
#Original NetCDF file:,ORGLM-L2-LCFAG17s20202321503400e20202321504000c20202321504023.nc
#Platform:,G17
#Satellite (lat/lon/height):,0.0 / -137.199997 / 35786.02km
#Event Info:,
#Description:,
#Date Archived:,08/25/2020 00:57:58
#URL:,https://neo-bolide.ndc.nasa.gov
 
time (ms),longitude,latitude,energy (joules)
1597849422384,-118.47933959960938,47.67695617675781,5.784489859128969e-15
1597849422386,-118.47932434082031,47.67695236206055,6.484405842617292e-15
1597849422388,-118.47930908203125,47.676944732666016,5.484525866205402e-15
1597849422392,-118.47927856445312,47.67693328857422,7.084333828464426e-15
1597849422394,-118.479248046875,47.67694854736328,7.084333828464426e-15
1597849422396,-118.47919464111328,47.67699432373047,6.184441849693725e-15
1597849422397,-118.47914123535156,47.677040100097656,7.284309823746804e-15
1597849422400,-118.47908782958984,47.677085876464844,6.584393840258481e-15
1597849422402,-118.47903442382812,47.67713165283203,7.384297821387993e-15
1597849422404,-118.47901916503906,47.67715072631836,8.384177797799883e-15
1597849422405,-118.47905731201172,47.67710494995117,8.484165795441072e-15
1597849422407,-118.47909545898438,47.67706298828125,9.484045771852962e-15
1597849422410,-118.47913360595703,47.67702102661133,9.58403376949415e-15
1597849422412,-118.47917175292969,47.676979064941406,8.58415379308226e-15
1597849422413,-118.47920227050781,47.67694854736328,8.58415379308226e-15
1597849422415,-118.47921752929688,47.67695617675781,7.984225807235127e-15
1597849422417,-118.47923278808594,47.67695999145508,1.0183961755341285e-14
1597849422420,-118.479248046875,47.67696762084961,1.0383937750623662e-14
1597849422421,-118.4929428100586,47.644386291503906,1.6083253616171435e-14
1597849422423,-118.49734497070312,47.63393020629883,1.6883157597300946e-14
1597849422425,-118.50265502929688,47.621280670166016,1.848296555955997e-14
1597849422428,-118.50361633300781,47.61897659301758,2.138261749115445e-14
1597849422430,-118.5074462890625,47.609832763671875,2.2982425453413474e-14
1597849422431,-118.51786041259766,47.58501434326172,1.958283353361305e-14
1597849422433,-118.51785278320312,47.585025787353516,2.2182521472283962e-14
1597849422435,-118.51783752441406,47.58502197265625,2.328238944633704e-14
1597849422438,-118.51781463623047,47.58501434326172,2.4982185406237254e-14
1597849422439,-118.5177993774414,47.58501052856445,2.7681861342549357e-14
1597849422441,-118.51778411865234,47.58500289916992,2.8981705311884813e-14
1597849422443,-118.51777648925781,47.584999084472656,2.7981825335472923e-14
1597849422445,-118.51777648925781,47.58501052856445,2.7081933356702223e-14
1597849422447,-118.51777648925781,47.585025787353516,2.72819093519846e-14
1597849422449,-118.51778411865234,47.58503723144531,2.8081813333114112e-14
1597849422451,-118.51778411865234,47.58504867553711,2.81818013307553e-14
1597849422453,-118.51779174804688,47.58505630493164,2.838177732603768e-14
1597849422455,-118.517822265625,47.58504867553711,2.738189734962579e-14
1597849422457,-118.51785278320312,47.585044860839844,2.838177732603768e-14
1597849422459,-118.51788330078125,47.58504104614258,3.158139325055573e-14
1597849422461,-118.51791381835938,47.58503341674805,3.208133323876167e-14
1597849422463,-118.51793670654297,47.585025787353516,3.158139325055573e-14
1597849422465,-118.5179214477539,47.58500671386719,3.008157328593789e-14
1597849422467,-118.51789855957031,47.584983825683594,2.54821253944432e-14
1597849422469,-118.51787567138672,47.584964752197266,2.1882557479360396e-14
1597849422471,-118.51786041259766,47.58494567871094,1.8882917550124726e-14
1597849422473,-118.5178451538086,47.58492660522461,1.7983025571354025e-14
1597849422475,-118.5178451538086,47.584938049316406,1.838297756191878e-14
1597849422477,-118.51785278320312,47.5849494934082,1.468342164919479e-14
1597849422479,-118.51785278320312,47.5849609375,1.4283469658630033e-14
1597849422481,-118.51785278320312,47.58496856689453,1.6283229611453812e-14
1597849422483,-118.51786041259766,47.58498001098633,1.858295355720116e-14
1597849422485,-118.51786804199219,47.584964752197266,1.7883037573712836e-14
1597849422487,-118.51787567138672,47.58495330810547,1.948284553597186e-14
1597849422489,-118.51788330078125,47.58494186401367,2.2182521472283962e-14
1597849422491,-118.51789093017578,47.584930419921875,2.0082773521818994e-14
1597849422493,-118.51789855957031,47.58491897583008,1.8982905547765915e-14
1597849422495,-118.51788330078125,47.58493423461914,1.4883397644477167e-14
1597849422497,-118.51787567138672,47.58494567871094,1.3483565677500521e-14
1597849422499,-118.51786041259766,47.5849609375,1.6783169599659757e-14
1597849422501,-118.5178451538086,47.58497619628906,1.658319360437738e-14
1597849422503,-118.51783752441406,47.58498764038086,1.3783529670424088e-14
1597849422505,-118.5178451538086,47.584964752197266,1.0083973757700096e-14
1597849422507,-118.51786041259766,47.58494186401367,7.584273816670371e-15
