,datetime,longitude,latitude,source,detectedBy,confidenceRating,lightcurveStructure,peak_energy_g17,peak_energy_g18,peak_energy_g19,peak_energy_cat_g16,peak_energy_cat_g17,peak_energy_cat_g18,peak_energy_cat_g19,_id,status,name,description,latitudeDelta,longitudeDelta,lastModifiedBy,lastModifiedDate,createdBy,createdDate,submittedBy,submittedDate,publishedBy,publishedDate,howFound,groundTrack,nearbyLightningActivity,otherDetectingSources,otherInformation,humanClassification,reason,rejectedBy,rejectedDate,duration,beginningAltitude,attachments,isManuallyGenerated,isPipelineIssue,files,location,checkout_time,assessmentScore,images,csv,platform,pdfFilenames,peak_energy_g16,geometry,phase,moon_fullness,solarhour,sun_alt_obs,sun_alt_app,date_retrieved
32,2025-06-26 16:24:57.052000+00:00,-83.62446975708008,33.5424919128418,glm,"GLM-18,GLM-19",high,very good,,0.0,0.0,,,Very Bright,Bright,6860189536989675b6ad1fec,PUBLISHED,,,0.22851943969726562,0.6371879577636719,jdotson,2025-07-16T22:38:28.744Z,auto,2025-06-28T09:30:13.124Z,rlongenb,2025-07-01T22:07:49.083Z,jdotson,2025-07-16T22:38:28.744Z,"{'GLM-19': ['forest'], 'GLM-18': ['forest']}","{'GLM-18': {'category': 'Multi-Pixel', 'value': 0}, 'GLM-19': {'category': 'Multi-Pixel', 'value': 0}}",not isolated,USG,,Bolide,,,,1.501106,50.71413871583809,"[{'location': {'coordinates': [-84.26165771484375, 33.31397247314453], 'type': 'Point'}, 'geoData': [], 'netCdfFilename': ['OR_GLM-L2-LCFA_G19_s20251771624400_e20251771625000_c20251771625014.nc'], 'title': '', 'startTime': '2025-06-26T16:24:56.301Z', 'endTime': '2025-06-26T16:24:57.803Z', 'duration': 1.502, 'energy': 1.9849459024416736e-15, 'platformId': 'G19', 'satellite': {'height': 35786.0234375, 'latitude': 0, 'longitude': -75.19999694824219}}, {'location': {'coordinates': [-84.26165771484375, 33.31397247314453], 'type': 'Point'}, 'geoData': [], 'netCdfFilename': ['OR_GLM-L2-LCFA_G18_s20251771624400_e20251771625000_c20251771625014.nc'], 'title': '', 'startTime': '2025-06-26T16:24:56.301Z', 'endTime': '2025-06-26T16:24:57.803Z', 'duration': 1.502, 'energy': 8.084213738701867e-15, 'platformId': 'G18', 'satellite': {'height': 35786.0234375, 'latitude': 0, 'longitude': -137}}]",False,False,"['G19_2025-06-26_16h24m57.135_33.629_-84.179_1920251771624571001.pdf', 'G18_2025-06-26_16h24m57.141_33.648_-83.445_1820251771624571001.pdf']","{'coordinates': [-83.62446975708008, 33.5424919128418], 'type': 'Point'}",-6,"{'score': 0.14105509221553802, 'assessment': 'rejected'}","[{'name': 'Map', 'url': '/img/OR_GLM-L2-LCFA_G19_s20251771624400_e20251771625000_c20251771625014.nc_Map.png'}, {'name': 'Energy Chart', 'url': '/img/OR_GLM-L2-LCFA_G19_s20251771624400_e20251771625000_c20251771625014.nc_EChart.png'}, {'name': 'Energy Chart', 'url': '/img/OR_GLM-L2-LCFA_G18_s20251771624400_e20251771625000_c20251771625014.nc_EChart.png'}, {'name': 'Map', 'url': '/img/OR_GLM-L2-LCFA_G18_s20251771624400_e20251771625000_c20251771625014.nc_Map.png'}, {'name': 'Trajectory Chart', 'url': '/img/OR_GLM-L2-LCFA_G19_s20251771624400_e20251771625000_c20251771625014.nc_TChart.png'}, {'name': 'Trajectory Chart', 'url': '/img/OR_GLM-L2-LCFA_G18_s20251771624400_e20251771625000_c20251771625014.nc_TChart.png'}]","['/csv/OR_GLM-L2-LCFA_G19_s20251771624400_e20251771625000_c20251771625014.nc.csv', '/csv/OR_GLM-L2-LCFA_G18_s20251771624400_e20251771625000_c20251771625014.nc.csv']","GLM-18,GLM-19","['G19_2025-06-26_16h24m57.135_33.629_-84.179_1920251771624571001.pdf', 'G18_2025-06-26_16h24m57.141_33.648_-83.445_1820251771624571001.pdf']",,POINT (-83.62446975708008 33.5424919128418),0.04241800763089288,0.08483601526178575,10.791212831660252,71.118108468518,71.112685298317,2025-07-18 11:59:48.484281
37,2025-06-26 00:37:20.623000+00:00,-103.65593338012695,12.03936767578125,glm,"GLM-18,GLM-19",high,very good,,0.0,0.0,,,Bright,Bright,6860189536989675b6ad1feb,PUBLISHED,,,0.11679840087890625,0.18522262573242188,jdotson,2025-07-16T22:38:54.496Z,auto,2025-06-28T09:30:13.070Z,rlongenb,2025-07-07T19:47:03.564Z,jdotson,2025-07-16T22:38:54.496Z,"{'GLM-19': ['forest'], 'GLM-18': ['forest']}","{'GLM-18': {'category': 'Multi-Pixel', 'value': 0}, 'GLM-19': {'category': 'Multi-Pixel', 'value': 0}}",not isolated,,,Bolide,,,,0.972382,35.95871017185709,"[{'location': {'coordinates': [-103.84115600585938, 11.922569274902344], 'type': 'Point'}, 'geoData': [], 'netCdfFilename': ['OR_GLM-L2-LCFA_G19_s20251770037200_e20251770037400_c20251770037421.nc'], 'title': '', 'startTime': '2025-06-26T00:37:20.137Z', 'endTime': '2025-06-26T00:37:21.110Z', 'duration': 0.973, 'energy': 8.850779614758193e-16, 'platformId': 'G19', 'satellite': {'height': 35786.0234375, 'latitude': 0, 'longitude': -75.19999694824219}}, {'location': {'coordinates': [-103.84115600585938, 11.922569274902344], 'type': 'Point'}, 'geoData': [], 'netCdfFilename': ['OR_GLM-L2-LCFA_G18_s20251770037200_e20251770037400_c20251770037421.nc'], 'title': '', 'startTime': '2025-06-26T00:37:20.137Z', 'endTime': '2025-06-26T00:37:21.110Z', 'duration': 0.973, 'energy': 1.3850178768898703e-15, 'platformId': 'G18', 'satellite': {'height': 35786.0234375, 'latitude': 0, 'longitude': -137}}]",False,False,"['G19_2025-06-26_00h37m20.559_12.115_-103.756_1920251770037205001.pdf', 'G18_2025-06-26_00h37m21.042_12.094_-103.551_1820251770037210001.pdf', 'G18_2025-06-26_00h37m20.493_12.096_-103.473_1820251770037204001.pdf']","{'coordinates': [-103.65593338012695, 12.03936767578125], 'type': 'Point'}",-6,"{'score': 0.8887971639633179, 'assessment': 'candidate'}","[{'name': 'Map', 'url': '/img/OR_GLM-L2-LCFA_G19_s20251770037200_e20251770037400_c20251770037421.nc_Map.png'}, {'name': 'Energy Chart', 'url': '/img/OR_GLM-L2-LCFA_G19_s20251770037200_e20251770037400_c20251770037421.nc_EChart.png'}, {'name': 'Energy Chart', 'url': '/img/OR_GLM-L2-LCFA_G18_s20251770037200_e20251770037400_c20251770037421.nc_EChart.png'}, {'name': 'Map', 'url': '/img/OR_GLM-L2-LCFA_G18_s20251770037200_e20251770037400_c20251770037421.nc_Map.png'}, {'name': 'Trajectory Chart', 'url': '/img/OR_GLM-L2-LCFA_G19_s20251770037200_e20251770037400_c20251770037421.nc_TChart.png'}, {'name': 'Trajectory Chart', 'url': '/img/OR_GLM-L2-LCFA_G18_s20251770037200_e20251770037400_c20251770037421.nc_TChart.png'}]","['/csv/OR_GLM-L2-LCFA_G19_s20251770037200_e20251770037400_c20251770037421.nc.csv', '/csv/OR_GLM-L2-LCFA_G18_s20251770037200_e20251770037400_c20251770037421.nc.csv']","GLM-18,GLM-19","['G19_2025-06-26_00h37m20.559_12.115_-103.756_1920251770037205001.pdf', 'G18_2025-06-26_00h37m21.042_12.094_-103.551_1820251770037210001.pdf', 'G18_2025-06-26_00h37m20.493_12.096_-103.473_1820251770037204001.pdf']",,POINT (-103.65593338012695 12.03936767578125),0.02000512431947173,0.040010248638943424,17.66487898831039,9.377839485143753,9.285962341749679,2025-07-18 11:59:48.484281
121,2025-06-02 01:57:19.885000+00:00,-41.05125045776367,-18.53850746154785,glm,GLM-19,high,good,,,0.0,,,,Fairly Bright,683f2312c584980c9906cc2d,PUBLISHED,,,0.04265785217285156,0.053829193115234375,jdotson,2025-06-20T22:15:45.799Z,auto,2025-06-03T09:30:10.680Z,rlongenb,2025-06-09T21:26:33.940Z,jdotson,2025-06-20T22:15:45.799Z,{'GLM-19': ['forest']},"{'GLM-19': {'category': 'Multi-Pixel', 'value': 0}}",isolated,IMO,,Bolide,,,,0.345998,,"[{'location': {'coordinates': [-41.105079650878906, -18.581165313720703], 'type': 'Point'}, 'geoData': [], 'netCdfFilename': ['OR_GLM-L2-LCFA_G19_s20251530157200_e20251530157400_c20251530157418.nc'], 'title': '', 'startTime': '2025-06-02T01:57:19.712Z', 'endTime': '2025-06-02T01:57:20.058Z', 'duration': 0.346, 'energy': 1.4850058811485042e-15, 'platformId': 'G19', 'satellite': {'height': 35786.0234375, 'latitude': 0, 'longitude': -75.19999694824219}}]",False,False,['G19_2025-06-02_01h57m19.809_-18.581_-40.998_1920251530157198001.pdf'],"{'coordinates': [-41.05125045776367, -18.53850746154785], 'type': 'Point'}",-31,"{'score': 0.3054962456226349, 'assessment': 'candidate'}","[{'name': 'Map', 'url': '/img/OR_GLM-L2-LCFA_G19_s20251530157200_e20251530157400_c20251530157418.nc_Map.png'}, {'name': 'Energy Chart', 'url': '/img/OR_GLM-L2-LCFA_G19_s20251530157200_e20251530157400_c20251530157418.nc_EChart.png'}, {'name': 'Trajectory Chart', 'url': '/img/OR_GLM-L2-LCFA_G19_s20251530157200_e20251530157400_c20251530157418.nc_TChart.png'}]",['/csv/OR_GLM-L2-LCFA_G19_s20251530157200_e20251530157400_c20251530157418.nc.csv'],GLM-19,['G19_2025-06-02_01h57m19.809_-18.581_-40.998_1920251530157198001.pdf'],,POINT (-41.05125045776367 -18.53850746154785),0.20315564205214778,0.4063112841042955,23.252500800588983,-78.87279106344866,-78.87279106344866,2025-07-18 11:59:48.484281
127,2025-05-30 10:23:58.372000+00:00,-79.52165985107422,33.685699462890625,glm,GLM-19,high,good,,,0.0,,,,Faint,683b2e8f3a440b49c9cfd22e,PUBLISHED,,,0.0,0.04570770263671875,jdotson,2025-06-06T22:03:07.375Z,auto,2025-05-31T09:30:07.031Z,rlongenb,2025-06-03T20:19:36.316Z,jdotson,2025-06-06T22:03:07.375Z,{'GLM-19': ['forest']},"{'GLM-19': {'category': 'Multi-Pixel', 'value': 0}}",not isolated,IMO,,Bolide,,,,0.204853,,"[{'location': {'coordinates': [-79.56736755371094, 33.685699462890625], 'type': 'Point'}, 'geoData': [], 'netCdfFilename': ['OR_GLM-L2-LCFA_G19_s20251501023400_e20251501024000_c20251501024019.nc'], 'title': '', 'startTime': '2025-05-30T10:23:58.270Z', 'endTime': '2025-05-30T10:23:58.475Z', 'duration': 0.205, 'energy': 7.850899572171854e-16, 'platformId': 'G19', 'satellite': {'height': 35786.0234375, 'latitude': 0, 'longitude': -75.19999694824219}}]",False,False,['G19_2025-05-30_10h23m58.417_33.686_-79.565_1920251501023584001.pdf'],"{'coordinates': [-79.52165985107422, 33.685699462890625], 'type': 'Point'}",-34,"{'score': 0.4873653054237366, 'assessment': 'candidate'}","[{'name': 'Map', 'url': '/img/OR_GLM-L2-LCFA_G19_s20251501023400_e20251501024000_c20251501024019.nc_Map.png'}, {'name': 'Energy Chart', 'url': '/img/OR_GLM-L2-LCFA_G19_s20251501023400_e20251501024000_c20251501024019.nc_EChart.png'}, {'name': 'Trajectory Chart', 'url': '/img/OR_GLM-L2-LCFA_G19_s20251501023400_e20251501024000_c20251501024019.nc_TChart.png'}]",['/csv/OR_GLM-L2-LCFA_G19_s20251501023400_e20251501024000_c20251501024019.nc.csv'],GLM-19,['G19_2025-05-30_10h23m58.417_33.686_-79.565_1920251501023584001.pdf'],,POINT (-79.52165985107422 33.685699462890625),0.11281150220705413,0.22562300441410832,5.138348994358968,2.204988689094747,1.9233682502274854,2025-07-18 11:59:48.484281
137,2025-05-27 09:15:48.939000+00:00,-135.6685333251953,-19.554147720336914,glm,GLM-18,high,very good,,0.0,,,,Faint,,68373a0f6492e712a76b648c,PUBLISHED,,,0.0020313262939453125,0.2701568603515625,jdotson,2025-06-06T22:04:49.551Z,auto,2025-05-28T09:30:07.976Z,rlongenb,2025-06-03T20:11:55.556Z,jdotson,2025-06-06T22:04:49.551Z,{'GLM-18': ['forest']},"{'GLM-18': {'category': 'Multi-Pixel', 'value': 0}}",isolated,,,Bolide,,,,0.876631,,"[{'location': {'coordinates': [-135.93869018554688, -19.55617904663086], 'type': 'Point'}, 'geoData': [], 'netCdfFilename': ['OR_GLM-L2-LCFA_G18_s20251470915400_e20251470916000_c20251470916020.nc'], 'title': '', 'startTime': '2025-05-27T09:15:48.501Z', 'endTime': '2025-05-27T09:15:49.378Z', 'duration': 0.877, 'energy': 4.851259973808429e-16, 'platformId': 'G18', 'satellite': {'height': 35786.0234375, 'latitude': 0, 'longitude': -137}}]",False,False,['G18_2025-05-27_09h15m49.012_-19.554_-135.707_1820251470915490001.pdf'],"{'coordinates': [-135.6685333251953, -19.554147720336914], 'type': 'Point'}",-37,"{'score': 0.8873873353004456, 'assessment': 'candidate'}","[{'name': 'Map', 'url': '/img/OR_GLM-L2-LCFA_G18_s20251470915400_e20251470916000_c20251470916020.nc_Map.png'}, {'name': 'Energy Chart', 'url': '/img/OR_GLM-L2-LCFA_G18_s20251470915400_e20251470916000_c20251470916020.nc_EChart.png'}, {'name': 'Trajectory Chart', 'url': '/img/OR_GLM-L2-LCFA_G18_s20251470915400_e20251470916000_c20251470916020.nc_TChart.png'}]",['/csv/OR_GLM-L2-LCFA_G18_s20251470915400_e20251470916000_c20251470916020.nc.csv'],GLM-18,['G18_2025-05-27_09h15m49.012_-19.554_-135.707_1820251470915490001.pdf'],,POINT (-135.6685333251953 -19.554147720336914),0.008849526420631904,0.01769905284126383,0.2661757143036555,-85.84349088506691,-85.84349088506691,2025-07-18 11:59:48.484281
167,2025-05-17 06:53:58.615000+00:00,-132.208251953125,-15.728231430053711,glm,GLM-18,high,very good,,0.0,,,,Bright,,682a0b0ec0b623ea64d8e75f,PUBLISHED,,,0.1553936004638672,0.19195556640625,jdotson,2025-06-06T22:28:45.522Z,auto,2025-05-18T09:30:06.601Z,rlongenb,2025-05-28T21:55:06.417Z,jdotson,2025-06-06T22:28:45.522Z,{'GLM-18': ['forest']},"{'GLM-18': {'category': 'Multi-Pixel', 'value': 0}}",isolated,,,Bolide,,,,1.457237,,"[{'location': {'coordinates': [-132.40020751953125, -15.883625030517578], 'type': 'Point'}, 'geoData': [], 'netCdfFilename': ['OR_GLM-L2-LCFA_G18_s20251370653400_e20251370654000_c20251370654022.nc'], 'title': '', 'startTime': '2025-05-17T06:53:57.886Z', 'endTime': '2025-05-17T06:53:59.343Z', 'duration': 1.457, 'energy': 4.851259973808429e-16, 'platformId': 'G18', 'satellite': {'height': 35786.0234375, 'latitude': 0, 'longitude': -137}}]",False,False,['G18_2025-05-17_06h53m58.723_-15.802_-132.245_1820251370653587001.pdf'],"{'coordinates': [-132.208251953125, -15.728231430053711], 'type': 'Point'}",-47,"{'score': 0.7100794315338135, 'assessment': 'candidate'}","[{'name': 'Map', 'url': '/img/OR_GLM-L2-LCFA_G18_s20251370653400_e20251370654000_c20251370654022.nc_Map.png'}, {'name': 'Energy Chart', 'url': '/img/OR_GLM-L2-LCFA_G18_s20251370653400_e20251370654000_c20251370654022.nc_EChart.png'}, {'name': 'Trajectory Chart', 'url': '/img/OR_GLM-L2-LCFA_G18_s20251370653400_e20251370654000_c20251370654022.nc_TChart.png'}]",['/csv/OR_GLM-L2-LCFA_G18_s20251370653400_e20251370654000_c20251370654022.nc.csv'],GLM-18,['G18_2025-05-17_06h53m58.723_-15.802_-132.245_1820251370653587001.pdf'],,POINT (-132.208251953125 -15.728231430053711),0.6643471079945533,0.6713057840108934,22.14612965772539,-63.26505748916082,-63.26505748916082,2025-07-18 11:59:48.484281
303,2025-05-05 07:40:59.201000+00:00,-101.1456527709961,47.26582336425781,glm,GLM-19,high,very good,,,0.0,,,,Fairly Bright,681aa4fa535c37d49a271493,PUBLISHED,,,0.08226776123046875,0.1503143310546875,jdotson,2025-05-21T22:42:58.611Z,auto,2025-05-06T17:10:34.893Z,rlongenb,2025-05-21T19:46:18.441Z,jdotson,2025-05-21T22:42:58.611Z,{'GLM-19': ['forest']},"{'GLM-19': {'category': 'Multi-Pixel', 'value': 0}}",not isolated,IMO,,Bolide,,,,0.604639,104.78093093154712,"[{'location': {'coordinates': [-101.29596710205078, 47.183555603027344], 'type': 'Point'}, 'geoData': [], 'netCdfFilename': ['OR_GLM-L2-LCFA_G19_s20251250740400_e20251250741000_c20251250741019.nc'], 'title': '', 'startTime': '2025-05-05T07:40:58.899Z', 'endTime': '2025-05-05T07:40:59.503Z', 'duration': 0.604, 'energy': 2.7848499365107447e-15, 'platformId': 'G19', 'satellite': {'height': 35786.0234375, 'latitude': 0, 'longitude': -75.19999694824219}}]",False,False,['G19_2025-05-05_07h40m59.312_47.266_-101.215_1920251250740593001.pdf'],"{'coordinates': [-101.1456527709961, 47.26582336425781], 'type': 'Point'}",-59,"{'score': 0.8670696020126343, 'assessment': 'candidate'}","[{'name': 'Map', 'url': '/img/OR_GLM-L2-LCFA_G19_s20251250740400_e20251250741000_c20251250741019.nc_Map.png'}, {'name': 'Energy Chart', 'url': '/img/OR_GLM-L2-LCFA_G19_s20251250740400_e20251250741000_c20251250741019.nc_EChart.png'}, {'name': 'Trajectory Chart', 'url': '/img/OR_GLM-L2-LCFA_G19_s20251250740400_e20251250741000_c20251250741019.nc_TChart.png'}]",['/csv/OR_GLM-L2-LCFA_G19_s20251250740400_e20251250741000_c20251250741019.nc.csv'],GLM-19,['G19_2025-05-05_07h40m59.312_47.266_-101.215_1920251250740593001.pdf'],,POINT (-101.1456527709961 47.26582336425781),0.25609063293055534,0.5121812658611107,0.9953565781727112,-24.982658276203285,-24.982658276203285,2025-07-18 11:59:48.484281
338,2025-04-30 19:34:36.228000+00:00,-108.581787109375,2.5705528259277344,glm,"GLM-18,GLM-19",high,very good,,0.0,0.0,,,Fairly Bright,Fairly Bright,6814f34e9ea15f047bd37eab,PUBLISHED,,,0.058910369873046875,0.22381591796875,jdotson,2025-05-21T22:25:37.699Z,auto,2025-05-02T09:31:10.318Z,rlongenb,2025-05-21T19:32:15.407Z,jdotson,2025-05-21T22:25:37.699Z,"{'GLM-19': ['forest'], 'GLM-18': ['forest']}","{'GLM-18': {'category': 'Multi-Pixel', 'value': 0}, 'GLM-19': {'category': 'Multi-Pixel', 'value': 0}}",isolated,,,Bolide,,,,0.703821,49.65444471053979,"[{'location': {'coordinates': [-108.80560302734375, 2.5116424560546875], 'type': 'Point'}, 'geoData': [], 'netCdfFilename': ['OR_GLM-L2-LCFA_G19_s20251201934200_e20251201934400_c20251201934422.nc'], 'title': '', 'startTime': '2025-04-30T19:34:35.876Z', 'endTime': '2025-04-30T19:34:36.580Z', 'duration': 0.704, 'energy': 9.850659657344532e-16, 'platformId': 'G19', 'satellite': {'height': 35786.0234375, 'latitude': 0, 'longitude': -75.19999694824219}}, {'location': {'coordinates': [-108.80560302734375, 2.5116424560546875], 'type': 'Point'}, 'geoData': [], 'netCdfFilename': ['OR_GLM-L2-LCFA_G18_s20251201934200_e20251201934400_c20251201934418.nc'], 'title': '', 'startTime': '2025-04-30T19:34:35.876Z', 'endTime': '2025-04-30T19:34:36.580Z', 'duration': 0.704, 'energy': 6.851019529585515e-16, 'platformId': 'G18', 'satellite': {'height': 35786.0234375, 'latitude': 0, 'longitude': -137}}]",False,False,"['G19_2025-04-30_19h34m36.283_2.586_-108.762_1920251201934362001.pdf', 'G18_2025-04-30_19h34m36.313_2.555_-108.437_1820251201934363001.pdf']","{'coordinates': [-108.581787109375, 2.5705528259277344], 'type': 'Point'}",-63,"{'score': 0.9160417914390564, 'assessment': 'candidate'}","[{'name': 'Map', 'url': '/img/OR_GLM-L2-LCFA_G19_s20251201934200_e20251201934400_c20251201934422.nc_Map.png'}, {'name': 'Energy Chart', 'url': '/img/OR_GLM-L2-LCFA_G19_s20251201934200_e20251201934400_c20251201934422.nc_EChart.png'}, {'name': 'Energy Chart', 'url': '/img/OR_GLM-L2-LCFA_G18_s20251201934200_e20251201934400_c20251201934418.nc_EChart.png'}, {'name': 'Map', 'url': '/img/OR_GLM-L2-LCFA_G18_s20251201934200_e20251201934400_c20251201934418.nc_Map.png'}, {'name': 'Trajectory Chart', 'url': '/img/OR_GLM-L2-LCFA_G19_s20251201934200_e20251201934400_c20251201934422.nc_TChart.png'}, {'name': 'Trajectory Chart', 'url': '/img/OR_GLM-L2-LCFA_G18_s20251201934200_e20251201934400_c20251201934418.nc_TChart.png'}]","['/csv/OR_GLM-L2-LCFA_G19_s20251201934200_e20251201934400_c20251201934422.nc.csv', '/csv/OR_GLM-L2-LCFA_G18_s20251201934200_e20251201934400_c20251201934418.nc.csv']","GLM-18,GLM-19","['G19_2025-04-30_19h34m36.283_2.586_-108.762_1920251201934362001.pdf', 'G18_2025-04-30_19h34m36.313_2.555_-108.437_1820251201934363001.pdf']",,POINT (-108.581787109375 2.5705528259277344),0.1024256116023589,0.20485122320471782,12.385719127222913,76.29657348211407,76.29270759504385,2025-07-18 11:59:48.484281
348,2025-04-28 15:01:14.601000+00:00,-67.18772888183594,-45.47734260559082,glm,GLM-19,high,very good,,,0.0,,,,Bright,68142e608905d8d2a08bdc90,PUBLISHED,,,0.08531379699707031,0.01523590087890625,jdotson,2025-05-21T22:27:37.123Z,auto,2025-05-01T19:30:56.029Z,rlongenb,2025-05-19T20:46:30.076Z,jdotson,2025-05-21T22:27:37.123Z,{'GLM-19': ['forest']},"{'GLM-19': {'category': 'Multi-Pixel', 'value': 0}}",isolated,USG,,Bolide,usg,rlongenb,2025-05-19T20:45:45.395Z,0.455099,,"[{'location': {'coordinates': [-67.20296478271484, -45.56265640258789], 'type': 'Point'}, 'geoData': [], 'netCdfFilename': ['OR_GLM-L2-LCFA_G19_s20251181501000_e20251181501200_c20251181501218.nc'], 'title': '', 'startTime': '2025-04-28T15:01:14.374Z', 'endTime': '2025-04-28T15:01:14.829Z', 'duration': 0.455, 'energy': 2.6848619322521108e-15, 'platformId': 'G19', 'satellite': {'height': 35786.0234375, 'latitude': 0, 'longitude': -75.19999694824219}}]",False,False,['G19_2025-04-28_15h01m14.615_-45.459_-67.192_1920251181501146001.pdf'],"{'coordinates': [-67.18772888183594, -45.47734260559082], 'type': 'Point'}",-63,"{'score': 0.8959596753120422, 'assessment': 'candidate'}","[{'name': 'Map', 'url': '/img/OR_GLM-L2-LCFA_G19_s20251181501000_e20251181501200_c20251181501218.nc_Map.png'}, {'name': 'Energy Chart', 'url': '/img/OR_GLM-L2-LCFA_G19_s20251181501000_e20251181501200_c20251181501218.nc_EChart.png'}, {'name': 'Trajectory Chart', 'url': '/img/OR_GLM-L2-LCFA_G19_s20251181501000_e20251181501200_c20251181501218.nc_TChart.png'}]",['/csv/OR_GLM-L2-LCFA_G19_s20251181501000_e20251181501200_c20251181501218.nc.csv'],GLM-19,['G19_2025-04-28_15h01m14.615_-45.459_-67.192_1920251181501146001.pdf'],,POINT (-67.18772888183594 -45.47734260559082),0.027721233274019152,0.055442466548038305,10.584485237080239,27.180970028497523,27.150102696090944,2025-07-18 11:59:48.484281
368,2025-04-24 10:13:52.785000+00:00,-166.12960052490234,-40.810476303100586,glm,GLM-18,high,very good,,0.0,,,,Faint,,68142e608905d8d2a08bdd9c,PUBLISHED,,,0.3889904022216797,0.21938323974609375,jdotson,2025-05-21T22:34:53.846Z,auto,2025-05-01T19:30:56.784Z,rlongenb,2025-05-18T21:36:24.529Z,jdotson,2025-05-21T22:34:53.846Z,{'GLM-18': ['forest']},"{'GLM-18': {'category': 'Multi-Pixel', 'value': 0}}",isolated,,,Bolide,,,,2.284658,,"[{'location': {'coordinates': [-166.34898376464844, -41.199466705322266], 'type': 'Point'}, 'geoData': [], 'netCdfFilename': ['OR_GLM-L2-LCFA_G18_s20251141013400_e20251141014000_c20251141014023.nc'], 'title': '', 'startTime': '2025-04-24T10:13:51.643Z', 'endTime': '2025-04-24T10:13:53.927Z', 'duration': 2.284, 'energy': 1.4850058811485042e-15, 'platformId': 'G18', 'satellite': {'height': 35786.0234375, 'latitude': 0, 'longitude': -137}}]",False,False,['G18_2025-04-24_10h13m52.446_-40.939_-166.199_1820251141013524001.pdf'],"{'coordinates': [-166.12960052490234, -40.810476303100586], 'type': 'Point'}",-63,"{'score': 0.2564604878425598, 'assessment': 'candidate'}","[{'name': 'Map', 'url': '/img/OR_GLM-L2-LCFA_G18_s20251141013400_e20251141014000_c20251141014023.nc_Map.png'}, {'name': 'Energy Chart', 'url': '/img/OR_GLM-L2-LCFA_G18_s20251141013400_e20251141014000_c20251141014023.nc_EChart.png'}, {'name': 'Trajectory Chart', 'url': '/img/OR_GLM-L2-LCFA_G18_s20251141013400_e20251141014000_c20251141014023.nc_TChart.png'}]",['/csv/OR_GLM-L2-LCFA_G18_s20251141013400_e20251141014000_c20251141014023.nc.csv'],GLM-18,['G18_2025-04-24_10h13m52.446_-40.939_-166.199_1820251141013524001.pdf'],,POINT (-166.12960052490234 -40.810476303100586),0.8846265855392798,0.2307468289214405,23.18803643144461,-60.23000828995229,-60.23000828995229,2025-07-18 11:59:48.484281
